scenario,scope,industry,model,family,target,n,wape,wape_sd,wape_min,wape_max,mae,r2_original,bias,sse,nonpositive
main,8004,일식회집,M3,log_ridge_smear,cnt,239,0.369117692251356,0.0120182248029424,0.356670550146315,0.39059609866712,13259.4441966277,0.761080193294426,0.142384816011562,126190810615.99,0
main,8004,일식회집,M3,log_ridge_smear,ticket,239,0.171514399098653,0.00243397809965323,0.166682006406679,0.174056588554483,10287.7057629993,0.376704152581086,-0.00106173264771415,54432410648.4421,0
main,8004,일식회집,M3,raw_ridge,amt,239,0.403962182888181,0.00595669685435187,0.395793751472303,0.411928610692029,729297555.249225,0.713026560878421,-0.00762701580513106,3.01814160174156e+20,21.4
main,8004,일식회집,M3,raw_ridge,cnt,239,0.389385268617882,0.00618028255225888,0.380631691350608,0.398677131400989,13987.4959900645,0.761292163282105,-0.00940033399849645,126078853951.783,34.6
main,8004,일식회집,M3,raw_ridge,ticket,239,0.172640423611652,0.00163990410066984,0.170518978554004,0.175505715681012,10355.2464997103,0.38979815355782,0.000810113311376472,53288911873.1043,0
main,8004,일식회집,M4,log_ridge_smear,amt,239,0.353569655681388,0.0114347492426458,0.336558909089577,0.367221057146112,638320853.836267,0.628178174705532,0.130871817079366,3.91050448010724e+20,0
main,8004,일식회집,M4,log_ridge_smear,cnt,239,0.301049793427439,0.014773586147104,0.270488073608805,0.316758005988975,10814.3094198779,0.760357198963779,0.123014000582206,126572676154.528,0
main,8004,일식회집,M4,log_ridge_smear,ticket,239,0.164876528129342,0.00196205110723856,0.161817781713299,0.167684525620169,9889.55573137574,0.415956637999779,0.000555378689641578,51004492085.9648,0
main,8004,일식회집,M4,raw_ridge,amt,239,0.368463204546699,0.00755327807484048,0.354864601840077,0.382356099885466,665209085.54845,0.76854426772601,-0.00481554929856305,2.43425376465496e+20,30.5
main,8004,일식회집,M4,raw_ridge,cnt,239,0.366696881997938,0.00618215824458048,0.353963836336407,0.374856297770664,13172.4838608334,0.782235307302189,-0.00732973602026577,115017266563.181,39.4
main,8004,일식회집,M4,raw_ridge,ticket,239,0.164249798679359,0.00114254848270125,0.162489274702742,0.165852026050432,9851.96350466877,0.440700591233986,0.00214144852133658,48843603273.5531,0
main,8004,일식회집,M5,log_ridge_smear,amt,239,0.354747089700887,0.0125019845396007,0.334231056599565,0.370198969486527,640446547.250806,0.642013238284109,0.126022628087868,3.76499909439259e+20,0
main,8004,일식회집,M5,log_ridge_smear,cnt,239,0.298478681350109,0.0145493473098675,0.272060678391397,0.320863590907488,10721.9499425938,0.777297252846695,0.113765682931079,117625409869.494,0
main,8004,일식회집,M5,log_ridge_smear,ticket,239,0.165114030510257,0.002489738140982,0.160415887184642,0.168251254133228,9903.80150097708,0.430597761922178,0.000589012867537743,49725883102.7686,0
main,8004,일식회집,M5,raw_ridge,amt,239,0.346316985745865,0.00805963227059896,0.332163013550644,0.356805937752388,625227166.661915,0.802987139133416,-0.00248956566323457,2.07201305207777e+20,29.2
main,8004,일식회집,M5,raw_ridge,cnt,239,0.339017320352385,0.0074621030917057,0.326561262348954,0.349933393822205,12178.1787632159,0.821463455890997,-0.00425282292214428,94298047266.781,39
main,8004,일식회집,M5,raw_ridge,ticket,239,0.164888805800025,0.00146480611618516,0.162617012683647,0.166862091937058,9890.2921655417,0.440621459469186,0.00182973240030719,48850513848.5791,0
main,8004,일식회집,M6,log_ridge_smear,amt,239,0.228037837365266,0.00760604673516565,0.216601245412374,0.239089908723303,411690609.516395,0.806946215259508,0.0825791577235263,2.03037486982231e+20,0
main,8004,일식회집,M6,log_ridge_smear,cnt,239,0.230514580185416,0.0106036973686373,0.212388041967395,0.248747639098927,8280.54378492435,0.849618107476301,0.0931975743275253,79427541739.6338,0
main,8004,일식회집,M6,log_ridge_smear,ticket,239,0.137306227895104,0.00189119631762125,0.133874212610101,0.139552263624636,8235.84538345184,0.593348494602856,0.00293469741309434,35512865718.978,0
main,8004,일식회집,M7,log_ridge_smear,amt,239,0.225537205921337,0.00608633473704855,0.213728721231165,0.234043140854984,407176067.126319,0.819899998948027,0.0754648116757501,1.89413803351456e+20,0
