scenario,scope,industry,model,family,target,repeat,alpha,n,mae,wape,r2_original,bias,sse,nonpositive
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,8,1,228,11556.9988471849,0.171499181043429,0.826633955480753,0.0218286717997418,186306456839.471,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,8,1,228,1913.65529970957,0.0680883002720445,0.280817319413356,0.00257780597735789,1641815294.31419,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,amt,9,1,228,315288447.450992,0.165492270012515,0.87739478204043,0.00743797045247563,1.16469610500492e+20,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,cnt,9,1,228,10693.4670025963,0.158684867733366,0.838294288027677,0.0120154546786022,173775772134.681,0
general_gu_aggregate,8005,중국음식,M9,log_ridge_smear,ticket,9,1,228,2104.34475136433,0.074873075275647,0.103772934419462,0.00322854127126031,2045988235.21193,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,0,1,228,1476130725.62869,0.208904421217757,0.895743637600602,0.0233484554253133,2.01390849487805e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,0,1,228,153353.476383918,0.239066645969879,0.831033156240403,0.0369562301537919,25233763489004.1,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,0,1,228,1175.62855172193,0.0980883296588824,0.54765810318127,0.00324561383207316,559306933.61976,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,1,1,228,1477561697.7257,0.209106934716402,0.873081455002753,0.00154925170813448,2.4516713421127e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,1,1,228,151766.690629775,0.236592965183106,0.808637210582435,0.0201055236996539,28578407818455.1,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,1,1,228,1205.96478233392,0.100619426904282,0.513148395591827,0.00135811774455763,601977132.572612,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,2,1,228,1429242359.47866,0.202268703376273,0.875140857399114,0.000960408004364334,2.41189009629754e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,2,1,228,149339.005934528,0.232808385587974,0.814670261341359,0.0145129037556461,27677422911709.5,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,2,1,228,1229.25458716953,0.102562607044863,0.507274291643721,0.00397659677140566,609240282.614836,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,3,1,228,1477464616.12354,0.209093195570161,0.878869765427118,0.00542390951430446,2.33985919687436e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,3,1,228,157316.57206549,0.2452448169158,0.804756907372865,0.0292881541803847,29157898156779.8,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,3,1,228,1180.84785222943,0.0985238009376449,0.549400034138802,0.000639927878343558,557153089.217359,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,4,1,228,1458250310.02658,0.206373955719249,0.876620009736261,0.00723274528380626,2.38331747599464e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,4,1,228,150629.201827505,0.234819704874965,0.816094695947613,0.0210740507860961,27464695697541.3,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,4,1,228,1193.29768784256,0.0995625504457536,0.529876403553312,0.00433673313900824,581293461.870638,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,5,1,228,1441361306.61743,0.20398379648682,0.876056053313801,-0.00706653855279392,2.39421135914762e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,5,1,228,150192.051844857,0.234138220616495,0.809574631246027,0.0126619556938349,28438412001592.6,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,5,1,228,1248.58005666615,0.104175023670863,0.489473769213392,-0.00159945070168555,631250084.685696,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,6,1,228,1500430710.98886,0.212343394669857,0.904207713947913,0.018763329406499,1.85040887850122e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,6,1,228,156511.046137927,0.243989062000522,0.839269324558306,0.0347069524871315,24003761680570.8,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,6,1,228,1181.89245804053,0.0986109574115271,0.539979588238864,-0.000258625499850958,568801182.720704,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,7,1,228,1464497642.74746,0.207258088407195,0.894175046590799,0.00670202258716961,2.04420879201992e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,7,1,228,147596.92766369,0.230092615335831,0.8394292639853,0.0187416363418638,23979876085127.6,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,7,1,228,1178.7822821901,0.0983514605205508,0.543939125287669,0.00253780435996599,563905336.1478,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,8,1,228,1454652163.71618,0.205864740201015,0.89465996952048,0.0126029091612272,2.0348415900097e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,8,1,228,153845.954341982,0.239834382420494,0.824996192637563,0.0387127063413613,26135332745766.3,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,8,1,228,1205.64343634077,0.10059261546655,0.536268770033365,-0.00210667691331639,573389496.043734,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,amt,9,1,228,1392028895.11888,0.197002193372372,0.887765129289099,-0.00590246084748559,2.16802844780175e+21,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,cnt,9,1,228,145581.928654784,0.226951381983638,0.827479910102923,0.0128039803352358,25764410630516.5,0
general_gu_aggregate,8006,서양음식,M5,log_ridge_smear,ticket,9,1,228,1165.42041480979,0.0972366158270142,0.563455760132015,-0.000147964970644642,539773613.514683,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,0,1,228,1091036996.919,0.15440533037577,0.888800780026973,0.00081711719023276,2.14802289830118e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,0,1,228,99230.8609489351,0.154693520245839,0.833403381331143,0.00361144879279787,24879790496287.7,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,ticket,0,1,228,1080.68181308387,0.090166467786844,0.605424210494996,-5.81056341673215e-05,487880907.032315,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,amt,1,1,228,961741638.077963,0.136107240893672,0.915530564145996,-0.00118492586170002,1.63168664730737e+21,0
general_gu_aggregate,8006,서양음식,M9,log_ridge_smear,cnt,1,1,228,93481.2802297525,0.145730352206355,0.863174377654818,-0.00106438545380531,20433744968370.6,0
