scope,model,family,target,repeat,wape_new,wape_old,mae_new,mae_old,r2_original_new,r2_original_old
all11_observed,M4,log_ridge_smear,amt,4,0.179471635576192,0.179471635576,10487303019.9339,10487303019.9,0.87081837120438,0.870818371204
all11_observed,M4,log_ridge_smear,cnt,4,0.20192692874633,0.201926928747,640326.215124842,640326.215126,0.844717103772861,0.844717103772
all11_observed,M4,log_ridge_smear,ticket,4,0.0863758138422587,0.0863758138423,1732.94796954016,1732.94796954,0.516323763624251,0.516323763625
all11_observed,M4,log_ridge_smear,amt,5,0.177652723805276,0.177652723806,10381016147.0981,10381016147.1,0.875208548878146,0.875208548878
all11_observed,M4,log_ridge_smear,cnt,5,0.202048339374402,0.202048339375,640711.217800969,640711.217802,0.854201769809121,0.854201769808
all11_observed,M4,log_ridge_smear,ticket,5,0.0886374912822048,0.0886374912822,1778.3237426063,1778.32374261,0.502777173512805,0.502777173514
all11_observed,M4,log_ridge_smear,amt,6,0.181510823344226,0.181510823345,10606461570.9175,10606461570.9,0.871361856243408,0.871361856243
all11_observed,M4,log_ridge_smear,cnt,6,0.201878733211054,0.201878733211,640173.383281756,640173.383282,0.848331302419294,0.848331302419
all11_observed,M4,log_ridge_smear,ticket,6,0.0868829689667472,0.0868829689667,1743.12296418426,1743.12296418,0.514903176813815,0.514903176815
all11_observed,M4,log_ridge_smear,amt,7,0.174789336744775,0.174789336745,10213696070.7505,10213696070.8,0.878241276511965,0.878241276512
all11_observed,M4,log_ridge_smear,cnt,7,0.199087757135308,0.199087757136,631322.978047634,631322.978049,0.854047996540392,0.85404799654
all11_observed,M4,log_ridge_smear,ticket,7,0.0846902213518713,0.0846902213519,1699.13012223139,1699.13012223,0.526107904177283,0.526107904177
all11_observed,M4,log_ridge_smear,amt,8,0.17608401398288,0.176084013983,10289349655.0366,10289349655.1,0.878325679925205,0.878325679925
all11_observed,M4,log_ridge_smear,cnt,8,0.194611143342206,0.194611143342,617127.282681448,617127.282682,0.861865090668107,0.861865090668
all11_observed,M4,log_ridge_smear,ticket,8,0.085569252012877,0.0855692520127,1716.76601278213,1716.76601278,0.516807771048717,0.51680777105
all11_observed,M4,log_ridge_smear,amt,9,0.176522518267864,0.176522518268,10314973354.8341,10314973354.9,0.879801418276958,0.879801418277
all11_observed,M4,log_ridge_smear,cnt,9,0.195212793953532,0.195212793954,619035.164216465,619035.164217,0.853450572303711,0.853450572303
all11_observed,M4,log_ridge_smear,ticket,9,0.0864595263975464,0.0864595263976,1734.62748486115,1734.62748486,0.516156296991315,0.516156296991
all11_observed,M5,log_ridge_smear,amt,0,0.156999776878957,0.15699977688,9174175233.34841,9174175233.38,0.903014203361195,0.903014203361
all11_observed,M5,log_ridge_smear,cnt,0,0.172236845546615,0.172236845547,546176.619922025,546176.619923,0.891531206301006,0.891531206301
all11_observed,M5,log_ridge_smear,ticket,0,0.0849391440672639,0.0849391440672,1704.12422989907,1704.1242299,0.523584904211394,0.523584904212
all11_observed,M5,log_ridge_smear,amt,1,0.1619205018949,0.161920501895,9461714454.5423,9461714454.53,0.892513995432976,0.892513995433
all11_observed,M5,log_ridge_smear,cnt,1,0.168691109231414,0.168691109232,534932.810447777,534932.810448,0.893171559566172,0.893171559566
all11_observed,M5,log_ridge_smear,ticket,1,0.0822965782768858,0.0822965782768,1651.10673788244,1651.10673788,0.529238005314479,0.529238005315
all11_observed,M5,log_ridge_smear,amt,2,0.15984143718864,0.159841437189,9340225721.78184,9340225721.81,0.898057875791017,0.898057875791
all11_observed,M5,log_ridge_smear,cnt,2,0.171254111850566,0.171254111851,543060.293872926,543060.293874,0.889444353744103,0.889444353744
all11_observed,M5,log_ridge_smear,ticket,2,0.084611643672892,0.0846116436728,1697.55362734027,1697.55362734,0.515071423651837,0.515071423653
all11_observed,M5,log_ridge_smear,amt,3,0.1643852316596,0.16438523166,9605739262.81727,9605739262.83,0.890929794025884,0.890929794026
all11_observed,M5,log_ridge_smear,cnt,3,0.168461057846059,0.168461057847,534203.299362838,534203.299364,0.89323978127637,0.893239781276
all11_observed,M5,log_ridge_smear,ticket,3,0.0828482539714089,0.0828482539713,1662.17494357731,1662.17494358,0.540321220712032,0.540321220713
all11_observed,M5,log_ridge_smear,amt,4,0.158384390848927,0.158384390849,9255084209.42193,9255084209.43,0.895592207412553,0.895592207412
all11_observed,M5,log_ridge_smear,cnt,4,0.174860241317917,0.174860241318,554495.614795278,554495.614795,0.885465889583832,0.885465889583
all11_observed,M5,log_ridge_smear,ticket,4,0.0823718305544822,0.0823718305544,1652.61651562997,1652.61651563,0.544393931031283,0.544393931032
all11_observed,M5,log_ridge_smear,amt,5,0.159704157099848,0.1597041571,9332203853.11637,9332203853.13,0.895730804263346,0.895730804263
all11_observed,M5,log_ridge_smear,cnt,5,0.170424200167,0.170424200167,540428.57847704,540428.578478,0.89131297927344,0.891312979273
all11_observed,M5,log_ridge_smear,ticket,5,0.0838968043057761,0.0838968043057,1683.21188774111,1683.21188774,0.529697733570287,0.529697733571
all11_observed,M5,log_ridge_smear,amt,6,0.158517672054567,0.158517672055,9262872406.06886,9262872406.08,0.896850150889118,0.896850150889
all11_observed,M5,log_ridge_smear,cnt,6,0.169482759220657,0.169482759221,537443.194993626,537443.194994,0.888789807741109,0.888789807741
all11_observed,M5,log_ridge_smear,ticket,6,0.0833499660790874,0.083349966079,1672.24073560427,1672.2407356,0.534394803451113,0.534394803452
all11_observed,M5,log_ridge_smear,amt,7,0.157139673303085,0.157139673303,9182349985.79068,9182349985.8,0.898863321482401,0.898863321482
all11_observed,M5,log_ridge_smear,cnt,7,0.168092921081559,0.168092921082,533035.908651137,533035.908652,0.89177126511496,0.891771265115
all11_observed,M5,log_ridge_smear,ticket,7,0.0822568896016484,0.0822568896017,1650.31046857849,1650.31046858,0.532819307077192,0.532819307077
all11_observed,M5,log_ridge_smear,amt,8,0.156180480301841,0.156180480303,9126300194.82314,9126300194.86,0.901772496853416,0.901772496853
all11_observed,M5,log_ridge_smear,cnt,8,0.164770822350204,0.164770822351,522501.271591452,522501.271592,0.900048453771878,0.900048453771
all11_observed,M5,log_ridge_smear,ticket,8,0.0831305293515451,0.0831305293515,1667.83820190275,1667.8382019,0.530300067372289,0.530300067373
all11_observed,M5,log_ridge_smear,amt,9,0.155471569941525,0.155471569942,9084875499.83589,9084875499.85,0.902390050065347,0.902390050065
all11_observed,M5,log_ridge_smear,cnt,9,0.165381878626094,0.165381878626,524438.979230537,524438.979231,0.894490354833298,0.894490354833
all11_observed,M5,log_ridge_smear,ticket,9,0.0834861507504733,0.0834861507506,1674.97299292565,1674.97299293,0.533450685029816,0.533450685029
all11_observed,M1,raw_ridge,amt,0,0.271374556898866,0.271374556899,15857587751.7452,15857587751.7,0.753809074916325,0.753809074916
all11_observed,M1,raw_ridge,cnt,0,0.272326799367742,0.272326799368,863569.756638404,863569.756639,0.758126093679076,0.758126093679
all11_observed,M1,raw_ridge,ticket,0,0.115181023168222,0.115181023168,2310.86355485399,2310.86355485,0.264892564322246,0.264892564322
all11_observed,M1,raw_ridge,amt,1,0.276801375449116,0.276801375449,16174700204.5735,16174700204.6,0.746226486635409,0.746226486635
all11_observed,M1,raw_ridge,cnt,1,0.276770553139302,0.276770553139,877661.250284921,877661.250285,0.748281575395076,0.748281575395
all11_observed,M1,raw_ridge,ticket,1,0.115847836072525,0.115847836073,2324.24174508077,2324.24174508,0.255628137635509,0.255628137636
all11_observed,M1,raw_ridge,amt,2,0.27254977826643,0.272549778266,15926261013.4424,15926261013.4,0.750911359888919,0.750911359889
all11_observed,M1,raw_ridge,cnt,2,0.277548451337298,0.277548451337,880128.026816253,880128.026816,0.749914793263944,0.749914793264
all11_observed,M1,raw_ridge,ticket,2,0.115826933762747,0.115826933763,2323.82238445566,2323.82238446,0.259401207626089,0.259401207626
all11_observed,M1,raw_ridge,amt,3,0.272773859098538,0.272773859099,15939355024.5363,15939355024.5,0.751722433894679,0.751722433895
all11_observed,M1,raw_ridge,cnt,3,0.274750049034962,0.274750049035,871254.07243198,871254.072432,0.757474174526614,0.757474174527
all11_observed,M1,raw_ridge,ticket,3,0.115861233741621,0.115861233742,2324.51054096731,2324.51054097,0.258021022675264,0.258021022675
all11_observed,M1,raw_ridge,amt,4,0.272655948023703,0.272655948024,15932464971.0344,15932464971,0.752888039337796,0.752888039338
all11_observed,M1,raw_ridge,cnt,4,0.274085826360983,0.274085826361,869147.76995182,869147.769952,0.75372606289994,0.7537260629
all11_observed,M1,raw_ridge,ticket,4,0.115409636853768,0.115409636854,2315.45020480324,2315.4502048,0.260723167788041,0.260723167788
all11_observed,M1,raw_ridge,amt,5,0.271518150231677,0.271518150232,15865978530.5332,15865978530.5,0.754646995497441,0.754646995497
all11_observed,M1,raw_ridge,cnt,5,0.274318877973943,0.274318877974,869886.794995097,869886.794995,0.757179888203651,0.757179888204
all11_observed,M1,raw_ridge,ticket,5,0.117488032700687,0.117488032701,2357.14882045271,2357.14882045,0.243713168885412,0.243713168886
all11_observed,M1,raw_ridge,amt,6,0.27512266947777,0.275122669478,16076606162.3236,16076606162.3,0.749338663776919,0.749338663777
all11_observed,M1,raw_ridge,cnt,6,0.277248736078457,0.277248736078,879177.606094756,879177.606095,0.753833707380946,0.753833707381
all11_observed,M1,raw_ridge,ticket,6,0.115551071171451,0.115551071171,2318.28778517151,2318.28778517,0.259447278050977,0.259447278051
