scope,industry,target,repeat,comparison,block,wape_gain_pp,sse_reduction
4004,대형할인점,amt,8,sequential,6,3.17523188190941,0.122201042748175
4004,대형할인점,amt,8,sequential,7,-1.18774481934719,-0.0271642697155066
4004,대형할인점,amt,8,sequential,8,2.6412109729145,0.0870296498154473
4004,대형할인점,amt,8,sequential,9,-9.33020515926498,-2.22100348913399
4004,대형할인점,amt,8,sequential,10,1.66758949279756,0.244311815203939
4004,대형할인점,amt,8,leave_one_block_out,1,-3.30063806880997,-1.82310234999127
4004,대형할인점,amt,8,leave_one_block_out,2,1.86308386223382,0.338003532606207
4004,대형할인점,amt,8,leave_one_block_out,3,-0.858739238522233,-0.017876032080572
4004,대형할인점,amt,8,leave_one_block_out,4,-11.7627620187105,-2.41961248676922
4004,대형할인점,amt,8,leave_one_block_out,5,-6.58574309059528,-0.9680200322169
4004,대형할인점,amt,8,leave_one_block_out,6,0.642279858753991,-0.25799739869092
4004,대형할인점,amt,8,leave_one_block_out,7,0.155557236117909,0.162858897617434
4004,대형할인점,amt,8,leave_one_block_out,8,-7.1751140731104,-2.27131020529234
4004,대형할인점,amt,8,leave_one_block_out,9,-9.33020515926498,-2.22100348913399
4004,대형할인점,amt,9,sequential,2,0.426248197756707,0.0319172752909648
4004,대형할인점,amt,9,sequential,3,-2.27882378714621,-0.114318935090155
4004,대형할인점,amt,9,sequential,4,-1.99158833706281,-0.0706716491139423
4004,대형할인점,amt,9,sequential,5,-1.10062154378853,-0.0402157484380272
4004,대형할인점,amt,9,sequential,6,1.09657193970241,0.0131954675272532
4004,대형할인점,amt,9,sequential,7,-1.50478579939668,-0.0779477862488864
4004,대형할인점,amt,9,sequential,8,-2.74945553094548,-0.175856091487325
4004,대형할인점,amt,9,sequential,9,-7.21301484184808,-0.780554601881907
4004,대형할인점,amt,9,sequential,10,-2.04952731103306,-0.164660198909068
4004,대형할인점,amt,9,leave_one_block_out,1,8.83470920334995,0.220298899194226
4004,대형할인점,amt,9,leave_one_block_out,2,-9.38005552400409,-0.577495143772283
4004,대형할인점,amt,9,leave_one_block_out,3,-0.617324696115584,0.00774564553986778
4004,대형할인점,amt,9,leave_one_block_out,4,-9.49437146010185,-0.804438929548593
4004,대형할인점,amt,9,leave_one_block_out,5,-2.60291736565156,-0.25847028287856
4004,대형할인점,amt,9,leave_one_block_out,6,1.95994795757938,-0.126940298962474
4004,대형할인점,amt,9,leave_one_block_out,7,-2.07975969855886,-0.152448569373672
4004,대형할인점,amt,9,leave_one_block_out,8,-4.12500948236071,-0.281768527726975
4004,대형할인점,amt,9,leave_one_block_out,9,-7.21301484184808,-0.780554601881907
4004,대형할인점,cnt,0,sequential,2,3.99043889614518,0.0863092207893353
4004,대형할인점,cnt,0,sequential,3,-1.2938285000499,-0.10038181305935
4004,대형할인점,cnt,0,sequential,4,-0.98615990000529,0.0170422432585777
4004,대형할인점,cnt,0,sequential,5,-0.143794049745427,-0.005428747914618
4004,대형할인점,cnt,0,sequential,6,3.13930339621513,0.0511194781275249
